discipline,tags
performing arts,"'art', 'arts', 'live music', 'performance', 'entertainment', 'dance', 'media', 'music', 'performance', 'film', 'poetry', 'culture', 'comedy', 'humor', 'singer', 'storytelling', 'creativity'"
visual arts,"'art', 'arts', 'culture', 'entertainment', 'visual', 'visual arts', 'culture', 'design', 'movies', 'photography', 'creativity', 'product design', 'graphic design', 'visualizations'"
history,"'history', 'museums', 'ancient world', 'global', 'global issues', 'religion', 'culture', 'exploration', 'evolution'"
literature,"'literature', 'writing', 'language', 'poetry', 'books', 'communication', 'anthropology', 'culture', 'library', 'storytelling', 'communication'"
philosophy,"'philosophy', 'morality', 'self', 'identity', 'democracy', 'beauty', 'communication', 'love', 'happiness', 'humanity', 'culture', 'nature', 'consciousness', 'evolution'"
theology,"'theology', 'morality', 'self', 'religion', 'atheism', 'God', 'Buddhism', 'peace', 'faith', 'hope',  'Christianity', 'Judaism'"
anthropology,"'anthropology', 'humanity', 'psychology', 'society', 'family', 'storytelling', 'evolution', 'ancient world', 'history'"
economics,"'economics', 'investment', 'behavioral economics', money', 'bank', 'work', 'global development', 'marketing', 'consumerism', 'currency', 'capitalism', 'global development', 'finance'"
political science,"'political science', 'government', 'democracy', 'capitalism', 'conservatism', 'social change', 'politics', 'policy', 'foreign policy', 'equality', 'global issues', 'activism', 'community'"
psychology,"'psychology', 'evolutionary psychology', 'cognitive science', 'society', 'family ', 'friendship', 'relationships', 'motivation', 'empathy', 'goal-setting'"
sociology,"'sociology', 'humanity', 'anthropology', 'education', 'crime', 'violence', 'jobs', 'society', 'humanity', 'culture', 'empathy', 'community'"
biology,"'biology', 'life', 'life sciences', 'biomimicry', 'biodiversity', 'biotech', 'evolution', 'biodiversity', 'animals', 'disease', 'genetics'"
chemistry,"'chemistry', 'engineering', 'energy', 'science', 'health care', 'materials'"
environmental sciences,"'environment', 'ecology', 'sustainability', 'climate change', 'food', 'activism', 'disaster relief', 'biosphere', 'oceans', 'global issues', 'plants', 'pollution', 'energy',  'green', 'alternative energy'"
space sciences,"'space', 'astronomy', 'telescopes', 'universe', 'planets', 'stars', 'sun', 'dark matter', 'exploration', 'cosmos'"
physics,"'physics', 'science', 'engineering'"
technology,"'technology', 'engineering', 'cognitive science', 'artificial intelligence', 'AI', 'innovation', 'future', 'machine learning', 'algorithms', 'data', 'robots', 'design', 'product design', 'computers'"
mathematics & statistics,"'math', 'mathematics', 'prediction', 'statistics', 'data', 'algorithm'"
medicine and health,"'medicine', 'health', 'disease', 'public health', 'health care', 'human body', 'neuroscience', 'medical research', 'pharmaceuticals', "
